"Story","Title","Result","Date","Stability","Duration (s)"
"Store Exito","validate name of product add to shopping cart","ERROR","2024-03-05T10:41:08.9115535-05:00[America/Bogota]","0.0","0.54"
"Store Exito","validate name of product add to shopping cart","SUCCESS","2024-03-07T16:02:14.8689974-05:00[America/Bogota]","0.0","193.08"
